iter	Passed	Remaining
400	7717	11527
401	7733	11503
402	7749	11479
403	7764	11454
404	7784	11435
405	7799	11410
406	7817	11390
407	7833	11366
408	7853	11348
409	7871	11327
410	7886	11302
411	7900	11275
412	7916	11252
413	7935	11231
414	7952	11210
415	7970	11189
416	7985	11164
417	8004	11145
418	8034	11140
419	8058	11127
420	8075	11106
421	8096	11089
422	8120	11077
423	8137	11054
424	8155	11034
425	8172	11011
426	8188	10987
427	8204	10964
428	8220	10942
429	8236	10918
430	8256	10900
431	8274	10879
432	8294	10861
433	8311	10839
434	8324	10812
435	8343	10792
436	8357	10766
437	8374	10745
438	8391	10723
439	8405	10697
440	8419	10671
441	8436	10650
442	8452	10627
443	8470	10606
444	8493	10592
445	8509	10569
446	8523	10544
447	8540	10522
448	8558	10502
449	8572	10478
450	8587	10453
451	8603	10430
452	8619	10407
453	8638	10388
454	8655	10367
455	8670	10343
456	8689	10324
457	8704	10300
458	8725	10283
459	8741	10261
460	8759	10241
461	8774	10218
462	8791	10196
463	8809	10176
464	8835	10165
465	8849	10140
466	8865	10118
467	8882	10097
468	8900	10077
469	8915	10054
470	8929	10029
471	8948	10010
472	8962	9985
473	8981	9966
474	8997	9944
475	9013	9921
476	9030	9900
477	9050	9884
478	9069	9864
479	9084	9842
480	9102	9821
481	9119	9800
482	9137	9781
483	9155	9761
484	9174	9742
485	9191	9720
486	9207	9699
487	9225	9679
488	9242	9658
489	9258	9636
490	9274	9614
491	9290	9592
492	9309	9574
493	9326	9552
494	9349	9538
495	9363	9514
496	9384	9497
497	9400	9476
498	9418	9456
499	9439	9439
500	9450	9412
501	9469	9394
502	9486	9373
503	9502	9352
504	9520	9331
505	9537	9311
506	9554	9290
507	9569	9268
508	9586	9247
509	9606	9230
510	9619	9205
511	9639	9187
512	9657	9167
513	9674	9147
514	9693	9128
515	9709	9107
516	9726	9086
517	9743	9066
518	9758	9044
519	9779	9027
520	9792	9002
521	9811	8984
522	9831	8966
523	9851	8948
524	9871	8931
525	9885	8907
526	9907	8892
527	9924	8871
528	9943	8853
529	9957	8830
530	9973	8809
